Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents)
24/7 TEAM CARE HOSPICE,4225 VALLEY FAIR ST.,SIMI VALLEY,CA,93063,Not Available,4.3,4.3,1.6,13.0,80.0,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.5,5.7,Not Available,"34,058",8.4,66.7
365 HOSPICE INC,8430 W LAKE MEAD BLVD STE 129,LAS VEGAS,NV,89128,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
365 HOSPICE LLC,115 SOUTH MAIN STREET,CARROLLTOWN,PA,15722,99.8,3.9,1.3,0.0,5.8,52.2,9.0,44.3,95.5,99.8,94.5,100.0,98.0,100.0,45.8,17.2,97.4,"9,503",9.1,94.8
365 HOSPICE LLC,220 REGENT COURT SUITE E2,STATE COLLEGE,PA,16801,100.0,3.7,3.7,0.0,6.2,41.2,9.0,52.2,92.6,100.0,98.6,100.0,93.3,100.0,44.4,15.7,100.0,"8,819",9.2,91.6
365 HOSPICE LLC - MONROEVILLE,2549 MOSSIDE BOULEVARD,MONROEVILLE,PA,15146,98.6,7.1,0.0,0.0,8.6,63.8,8.0,44.7,95.7,100.0,89.7,100.0,100.0,100.0,61.4,16.5,100.0,"12,146",8.5,91.5
3HC,1367 WALTER REED ROAD STE 102,FAYETTEVILLE,NC,28304,98.8,0.0,2.1,0.4,12.5,32.1,10.0,53.6,94.1,100.0,95.7,100.0,98.8,100.0,45.8,13.6,95.8,"18,980",6.2,97.2
3HC,2402 WAYNE MEMORIAL DRIVE ,GOLDSBORO,NC,27534,96.9,7.4,3.9,3.6,7.1,36.8,10.0,67.5,91.0,99.5,97.8,89.1,99.5,99.8,39.6,13.6,95.1,"13,678",11.6,97.6
5 STAR HOSPICE,269 W ALAMEDA AVE SUITE F,BURBANK,CA,91502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"5 STAR HOSPICE, LLC","4220 CARTWRIGHT RD, STE 304",MISSOURI CITY,TX,77459,Not Available,0.0,0.0,0.0,10.5,100,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.1,0.0,Not Available,"22,332",0.0,10.0
"7 ANGELES HOSPICE, INC",14545 FRIAR ST SUITE 303,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"7 HOSPICE CARE, INC.",5658 SEPULVEDA BLVD,VAN NUYS,CA,91411,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
7 STAR HOSPICE CARE INC,1264 S WATERMAN AVE,SAN BERNARDINO,CA,92408,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
@HEART HOSPICE,346 SOUTHPORT CIRCLE,VIRGINIA BEACH,VA,23452,98.4,20.7,6.9,0.0,20.7,48.3,7.0,63.1,96.8,100.0,100.0,100.0,98.4,100.0,24.1,9.8,Not Available,"17,868",9.3,91.8
A & C HEALTH CARE UNLIMITED LLC,"1687 ERRINGER ROAD, SUITE #211",SIMI VALLEY,CA,93065,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"A & E HOSPICE CARE, INC.","2920 W OLIVE AVE, SUITE 214",BURBANK,CA,91505,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"A & R HOSPICE AND PALLIATIVE CARE, INC",16830 VENTURA BLVD SUITE 355,ENCINO,CA,91436,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A & S HOSPICE AND PALLIATIVE CARE LLC,6776 SOUTHWEST FREEWAY STE 631,HOUSTON,TX,77074,Not Available,4.0,4.0,0.0,0.0,59.6,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,56.0,8.4,Not Available,"22,608",4.6,33.3
A & Z HEALTH CARE LLC,"1225 25TH ST. N, SUITE 300B",TEXAS CITY,TX,77590,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A AND B HOSPICE INC,"3275 WEST INA ROAD, SUITE 115",TUCSON,AZ,85741,Not Available,0.0,3.3,0.0,0.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.7,5.7,Not Available,"18,873",2.8,Not Available
"A AND S HOSPICE PALLIATIVE CARE, INC.",1425 W BURBANK BLVD.,BURBANK,CA,91506,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.3,100.0,Not Available,Not Available,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A BETTER HOSPICE,10777 WESTHEIMER RD,HOUSTON,TX,77042,100.0,16.7,2.1,0.1,6.3,90.5,7.0,14.3,83.7,100.0,81.0,Not Available,97.7,100.0,41.7,8.2,Not Available,"24,731",3.9,80.8
A BLISS HOSPICE CARE,140 E RIDGEWOOD COURT,SAN ANTONIO,TX,78212,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A BRIDGE HOME LLC,1201 FALLS AVE E ,TWIN FALLS ,ID,83301,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"A BRIGHTSTART SERVICES, INC",7402 LAKE RIDGE PKWY APT# 3211,GRAND PRAIRIE,TX,75052,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"A C HOSPICE, INC","3756 SANTA ROSALIA DRIVE, SUITE 520C",LOS ANGELES,CA,90008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A CARE HOSPICE INC,"24445 HAWTHORNE BLVD, SUITE #105",TORRANCE,CA,90505,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A CARING HEART HOSPICE AND PALLIATIVE CARE,1500 E TROPICANA AVE STE 112 RM 1,LAS VEGAS,NV,89119,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,85.0,100.0,Not Available,Not Available,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A CARING TOUCH HOME HEALTH SERVICES & HOSPICE CARE,4000 SOUTH MEDFORD DRIVE SUITE 9W,LUFKIN,TX,75901,93.8,3.8,2.9,0.0,5.7,79.9,7.0,30.2,85.2,97.5,84.8,95.7,98.8,100.0,32.4,8.2,Not Available,"28,781",8.9,74.0
A CHANGE OF SEASONS HOSPICE,8201 PORT AUSTIN RD,PIGEON,MI,48755,100.0,10.0,0.0,0.2,10.0,61.5,9.0,9.9,77.8,97.8,82.1,Not Available,97.8,100.0,60.0,9.4,Not Available,"17,106",7.7,92.6
A CHOICE HOSPICE CORP,"6621 VAN NUYS BLVD, SUITE 102",VAN NUYS,CA,91405,100.0,10.7,1.8,0.0,5.4,81.1,7.0,20.0,99.0,100.0,100.0,100.0,99.0,100.0,26.8,8.5,Not Available,"29,653",3.7,90.9
A GIVING HEART HOSPICE AND PALLIATIVE CARE,1427 GENTLE BEND DR,MISSOURI,TX,77489,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"A GRADE HOSPICE AND PALLIATIVE CARE, INC",8700 RESEDA BLVD SUITE 202E,NORTHRIDGE,CA,91324,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A HEALING TOUCH HOSPICE,2900 N TEXAS SUITE 104,WESLACO,TX,78596,100.0,19.0,0.0,0.0,4.8,16.5,8.0,87.1,88.9,100.0,100.0,88.9,100.0,100.0,52.4,15.5,Not Available,"17,769",7.7,96.8
A HUG AWAY HEALTHCARE INC,"1203 AVENUE D, SUITE #A",KATY,TX,77493,Not Available,0.0,0.0,0.1,0.0,80.0,9.0,10.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.3,10.4,Not Available,"13,637",5.8,65.5
A KIND HEART PALLIATIVE HOSPICE LLC,"12454 BEECHNUT ST, STE 9A",HOUSTON,TX,77072,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A LIFE CARE HOSPICE INC,10970 ARROW ROUTE SUITE 213,RANCHO CUCAMONGA,CA,91730,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A MINISTERING HAND HOME CARE SERVICES,340 N SAM HOUSTON PKWY E STE A235 ,HOUSTON,TX,77060,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"A NEIGHBORHOOD HOSPICE AND PALLIATIVE CARE, LLC",208 DIAMOND ST STE 5,LA JOYA,TX,78560,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"A ONE HOSPICE, INC",5301 LAUREL CANYON BLVD SUITE 223,VALLEY VILLAGE,CA,91607,Not Available,1.2,0.0,0.0,1.2,83.1,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,67.9,9.4,Not Available,"31,603",12.6,100
A PATH OF CARE HOSPICE,"10153 EAST 79TH STREET, SUITE 207",TULSA            ,OK,74133,90.9,0.0,0.0,0.1,18.2,17.9,9.0,53.2,69.1,90.9,87.0,88.5,90.9,100.0,0.0,16.8,96.3,"9,243",6.8,98.1
A PATH OF CARE HOSPICE,"102 SW 3RD ST, STE A",LAWTON,OK,73501,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A PATH OF CARE PROMISECARE HOSPICE,6302 SW LEE BOULEVARD,LAWTON,OK,73505,Not Available,15.4,0.0,0.0,7.7,31.0,8.0,0.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,42.3,17.7,Not Available,"14,368",3.8,90.7
A PATH OF CARE TENDERCARE HOSPICE,"4251 28TH AVE NW, STE 111",NORMAN,OK,73069,99.5,10.1,2.9,0.0,10.1,40.8,10.0,46.0,96.2,100.0,96.2,99.3,100.0,100.0,37.7,14.6,97.6,"18,143",5.7,98.1
A PEACEFUL JOURNEY HOSPICE,"2851 S PARKER RD, STE 1130",AURORA,CO,80014,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A PLUS HEALTHCARE AT HOME-HOSPICE,1443 NORTH 1200 WEST,OREM,UT,84057,99.5,9.2,0.0,0.0,0.8,24.7,10.0,67.2,95.9,99.5,98.3,99.2,99.1,100.0,51.1,13.2,96.5,"17,783",5.3,93.2
"A PLUS HOSPICE CARE, INC","10501 VALLEY BLVD, SUITE 1216",EL MONTE,CA,91731,100.0,5.6,16.7,0.3,5.6,48.6,8.0,31.0,100.0,100.0,Not Available,Not Available,100.0,100.0,61.1,16.8,Not Available,"24,681",10.3,92.5
A TLC HOSPICE LLC,"3960 EAST RIGGS RD, UNIT 3",CHANDLER,AZ,85249,Not Available,11.8,5.9,0.0,0.0,92.9,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41.2,8.6,Not Available,"33,566",2.4,62.5
"A TO Z HOSPICE, INC.",212 N GLENDALE AVE,GLENDALE,CA,91206,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A TOUCH OF ANGEL HOSPICE INC,664 W BROADWAY STE I,GLENDALE,CA,91204,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A TOUCH OF GRACE HOSPICE LLC,9460 AMBERDALE DRIVE SUITE G3,NORTH CHESTERFIELD,VA,23236,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
A&D HOSPICE,3375 CARVER STREET,SAGINAW,MI,48603,100.0,8.8,0.0,0.2,11.8,34.0,10.0,70.5,96.7,99.2,97.8,100.0,98.4,100.0,32.4,16.5,96.2,"12,759",5.9,94.1
"A&G HOSPICE CARE, LLC",6621 VAN NUYS BLVD SUITE 116,VAN NUYS,CA,91405,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"A&H HOSPICE CARE, INC.","6350 LAUREL CANYON BLVD., SUITE 300 ",NORTH HOLLYWOOD ,CA,91606,Not Available,1.9,0.0,0.1,3.8,62.5,8.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,64.2,47.0,Not Available,"34,523",13.6,87.5
A'S HOSPICE,5562 PHILADELPHIA STREET SUITE 213,CHINO,CA,91710,100.0,11.1,11.1,3.6,0.0,72.0,7.0,Not Available,84.2,100.0,93.3,90.0,100.0,100.0,66.7,11.4,Not Available,"26,104",7.7,52.9
A*MED COMMUNITY HOSPICE,8900 EMMETT F LOWERY EXPY STE 102A,TEXAS CITY,TX,77591,96.8,7.1,3.4,2.8,18.0,68.2,9.0,46.1,85.9,98.0,97.3,99.3,92.5,99.9,32.7,13.5,98.6,"8,776",9.6,92.0
A+ HOSPICE CARE,227 VINE ST,RENO,NV,89503,86.6,7.0,4.7,0.0,9.3,73.2,8.0,63.6,83.5,97.8,97.4,95.4,97.4,97.4,39.5,9.1,100.0,"19,209",3.6,93.0
A-1 HOSPICE,5011 ARGOSY AVE SUITE 5,HUNTINGTON BEACH,CA,92649,100.0,14.3,14.3,0.8,0.0,17.4,9.0,9.5,100.0,100.0,Not Available,Not Available,100.0,100.0,28.6,25.3,Not Available,"12,878",12.8,100
A-1 HOSPICE CARE INC,217 E ALAMEDA AVENUE SUITE 306 ,BURBANK,CA,91502,97.0,2.7,0.0,0.6,5.4,70.2,10.0,Not Available,87.9,97.0,92.0,100.0,97.0,100.0,51.4,11.6,Not Available,"23,804",9.8,95.8
"A-ONE HOSPICE PROVIDERS, INC",4110 EDISON AVENUE SUITE 205,CHINO,CA,91710,100.0,9.1,3.0,0.4,3.0,77.8,8.0,8.3,86.2,100.0,Not Available,Not Available,100.0,100.0,45.5,8.8,Not Available,"23,705",3.6,62.9
"A-VOW HOSPICE, INC",2400 N HEMLOCK CIRCLE,BROKEN ARROW,OK,74012,98.1,8.8,5.9,0.0,2.9,44.1,9.0,23.6,96.9,100.0,Not Available,97.7,100.0,99.4,35.3,16.3,98.6,"11,567",5.9,96.1
A-Z HOSPICE CARE 366D 247,6356 VAN NUYS BLVD SUITE 226,VAN NUYS,CA,91401,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"A-Z HOSPICE, INC",1445 EAST LOS ANGELES AVENUE SUITE 301-D,SIMI VALLEY,CA,93065,100.0,0.0,1.3,0.1,1.3,64.9,8.0,Not Available,95.3,100.0,100.0,100.0,97.7,100.0,76.3,10.5,Not Available,"39,485",15.1,100
A1 HEALTHCARE,"5006 SUNRISE BLVD, SUITE 202",FAIR OAKS,CA,95628,91.3,5.2,1.3,0.0,5.2,39.4,9.0,20.7,86.3,97.9,94.7,99.1,98.8,99.2,44.2,12.8,98.5,"24,556",5.3,82.7
"A1 PALLIATIVE AND HOSPICE CARE, INC","13645 VANOWEN STREET, #B",VAN NUYS,CA,91405,96.1,3.2,0.0,0.1,1.1,82.0,9.0,Not Available,89.5,96.1,100.0,93.8,96.1,96.1,50.0,9.7,Not Available,"27,305",17.0,76.2
A1 PALLIATIVE HOSPICE INC,15022 FM 529 ROAD BLDG 2 STE C,HOUSTON,TX,77095,Not Available,0.0,0.0,0.0,0.0,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.4,0.0,Not Available,"15,303",Not Available,Not Available
"A1KARE HOSPICE & PALLIATIVE CARE, INC","8300 TAMPA AVE, SUITE G",NORTHRIDGE,CA,91324,100.0,11.8,0.0,0.4,0.0,35.9,9.0,0.0,75.6,100.0,89.3,68.2,100.0,100.0,70.6,11.5,Not Available,"22,315",13.3,86.4
AA CARE HOSPICE,715 S AVERILL AVE ,SAN PEDRO,CA,90732,Not Available,18.2,4.5,0.1,4.5,89.3,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.6,8.5,Not Available,"32,625",15.8,0.0
AA FAMILY HOSPICE INC,4105 OCEAN VIEW BLVD SUITE D,MONTROSE,CA,91020,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AAA HOSPICE AND PALLIATIVE CARE LLC,"1100 NW LOOP 410, SUITE 761",SAN ANTONIO,TX,78213,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"AAA HOSPICE CARE & NURSING, INC","229 N CENTRAL AVENUE, SUITE 507",GLENDALE,CA,91203,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AAA HOSPICE CARE INC,4500 MERCANTILE PLAZA STE 344,FORT WORTH,TX,76137,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
AADI  HOME  HEALTH,1001 2ND ST BLDG. 1,CORPUS CHRISTI,TX,78404,100.0,8.3,2.8,0.0,5.6,60.8,10.0,80.7,100.0,100.0,100.0,100.0,100.0,100.0,52.8,10.7,100.0,"20,450",6.6,96.1
AADVANTAGE HEALTH & HOSPICE CARE SYSTEMS INC,9100 SOUTHWEST FREEWAY STE#105,HOUSTON,TX,77074,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
